algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 20)",10,0.9881399999999999,0.99813,0.99983,0.08596729,5929.393310393117,0.16355515,0.24296041,0.28419727,0.33856043,0.0,77.36717677116394,10.0,224064.0,37.78868903961182,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 200)",10,0.9998699999999999,1.0,1.0,0.08592306,1355.9491237175425,0.7185936,1.033783,1.1615753,1.2757846,0.0,77.36717677116394,10.0,224064.0,165.2451379486084,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 40)",10,0.99785,0.9999,1.0,0.08593069,3847.7198637305023,0.2515316,0.37193298,0.42582256,0.5006802,0.0,77.36717677116394,10.0,224064.0,58.23292961425781,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 400)",10,0.9999499999999999,1.0,1.0,0.08592284,853.9095207349588,1.1467934,1.62673,1.7869543,1.9960428,0.0,77.36717677116394,10.0,224064.0,262.3978238433838,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 600)",10,0.99996,1.0,1.0,0.08592281,634.6977518710196,1.5437603,2.1694655,2.4569082,2.8481805,0.0,77.36717677116394,10.0,224064.0,353.02472608337405,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 80)",10,0.99953,1.0,1.0,0.08592491,2492.349682809988,0.3912449,0.57148933,0.6513642,0.72860926,0.0,77.36717677116394,10.0,224064.0,89.90070757141113,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 800)",10,0.99996,1.0,1.0,0.08592281,522.1923962221259,1.8831491,2.5961518,2.8548357,3.153093,0.0,77.36717677116394,10.0,224064.0,429.0832298995972,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 10)",10,0.87981,0.94396,0.99749,0.08654221,11830.867525607007,0.07939339,0.11897087,0.14805794,0.19574514,0.0,59.11277723312378,10.0,197856.0,16.723710207366942,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 120)",10,0.99809,0.99969,0.9999,0.08593787,3063.9077230153503,0.32258034,0.41151047,0.45085186,0.49400377,0.0,59.11277723312378,10.0,197856.0,64.57635734710693,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 20)",10,0.95529,0.9868,0.99901,0.08615015,9489.52585221938,0.10228157,0.14044042,0.16927719,0.21338673,0.0,59.11277723312378,10.0,197856.0,20.849935295104977,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 200)",10,0.99889,0.99977,0.9999,0.08593393,2053.2984725428196,0.47802925,0.6284714,0.70430475,0.9227018,0.0,59.11277723312378,10.0,197856.0,96.36007752685546,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 40)",10,0.9867000000000001,0.9975400000000001,0.9995200000000001,0.08600284,6041.1648031009645,0.16236305,0.21290779,0.25034183,0.30040926,0.0,59.11277723312378,10.0,197856.0,32.75129986495971,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 8, 'efConstruction': 500}, 'efQuery': 400)",10,0.9995499999999999,0.9999800000000001,1.0,0.08592622,1258.284417846988,0.7838011,1.0154247,1.1086488,1.2519755,0.0,59.11277723312378,10.0,197856.0,157.24266882247923,fashion-mnist-784-euclidean
